method,total_final,terminal_final,power_final,neg_final,iterations,runtime_s,oracle_calls,max_abs_omega,area_omega_over_pi,negativity_fraction
const,0.01778549110262944,0.0021015883692124815,3.1678423393744954e-05,2.3513658286894366e-05,2000,148.10632041699137,2000,196.23203255371433,4.145042664778855,0.0
linesearch,0.013264578862904183,0.0006102477397357253,3.3075492643986414e-05,2.750430162507686e-05,2000,316.26016881800024,6054,205.27551428047298,4.100764046668273,0.0
adam,0.004822510453986692,7.102242158751881e-05,6.0970320346425535e-05,0.00014885276362252382,2000,156.9092492009804,2000,242.63674270188434,4.386131500094422,0.0885
